Total_disabled_population_Males,Total_disabled_population_Females,Main_worker_Males,Main_worker_Females,Marginal_worker_Less_than_3_months_Males,Marginal_worker_Less_than_3months_Females,Marginal_worker_3to6_months_Males,Marginal_worker_3to6_months_Females,Non_worker_Males,Non_worker_Females,Total_Rural_Urban_Rural,Total_Rural_Urban_Total,Total_Rural_Urban_Urban,Disability_Any_Other,Disability_In_Hearing,Disability_In_Movement,Disability_In_Seeing,Disability_In_Speech,Disability_Mental_Illness,Disability_Mental_Retardation,Disability_Multiple_Disability,Disability_Total,Age_group_0to14,Age_group_15to59,Age_group_60+,Age_group_AgeNotStated,Age_group_Total
3546,2983,675,211,53,44,247,156,2571,2572,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10410559,8225799,3600720,1108456,283071,234335,1028221,749317,5498547,6133691,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2211029,1791606,42058,27684,14209,12624,36779,31512,2117983,1719786,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6095271,4352990,2907856,894283,198725,162687,808607,589192,2180083,2706828,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2056650,2042377,634874,180197,69124,58204,177635,124648,1175017,1679328,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
47609,38826,15932,6292,1013,820,5200,3965,25464,27749,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1821448,1682110,674495,219411,51976,51847,195485,159407,899492,1251445,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
389245,344209,7293,4936,2482,2257,6882,6002,372588,331014,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
923487,756143,499728,163100,31232,31914,141338,116526,251189,444603,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
500518,574407,164521,50195,18056,17517,46254,36078,271687,470617,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8198,7351,2953,1180,206,159,1011,801,4028,5211,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1784426,1609302,707710,244469,49956,51062,208876,181178,817884,1132593,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
429629,390606,10592,7661,3232,3270,10042,9364,405763,370311,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
966878,824171,550160,193876,32249,34792,157842,141116,226627,454387,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
378371,386236,143614,41660,14278,12804,39770,29710,180709,302062,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9548,8289,3344,1272,197,196,1222,988,4785,5833,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
734998,568942,297673,111155,17450,14564,71429,54578,348446,388645,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
196895,147410,4380,2819,1424,1071,3063,2367,188028,141153,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
460628,358543,256498,95727,13848,11779,60680,46851,129602,204186,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
73567,59896,35121,11856,2106,1658,7268,5041,29072,41341,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3908,3093,1674,753,72,56,418,319,1744,1965,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2503529,1532212,883332,192947,70812,42074,230198,115887,1319187,1181304,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
298045,195563,4216,1951,1824,1348,3222,2173,288783,190091,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1625999,860330,738110,160604,51595,28915,186204,91505,650090,579306,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
572841,471897,138857,29810,17244,11721,40134,21879,376606,408487,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6644,4422,2149,582,149,90,638,330,3708,3420,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
591598,434302,113179,36263,15138,9808,43024,27709,420257,360522,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
163980,120573,2139,1360,1029,815,1776,1393,159036,117005,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
393062,282178,100691,31686,12957,8104,38120,24133,241294,218255,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
32672,30204,9944,3067,1112,863,2950,2064,18666,24210,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1884,1347,405,150,40,26,178,119,1261,1052,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
283458,212422,54628,16579,9217,5761,21677,13870,197936,176212,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
33930,23890,498,272,230,188,431,314,32771,23116,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
217943,155196,48088,14338,8019,4881,19260,12111,142576,123866,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
30689,32554,5918,1918,950,686,1931,1412,21890,28538,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
896,782,124,51,18,6,55,33,699,692,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1827881,1465226,727541,243706,48806,43584,207598,162585,843936,1015351,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
486039,423073,10945,7559,3141,3009,9715,8603,462238,403902,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1093962,828043,611459,203925,37193,33725,169504,133589,275806,456804,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
233747,202666,100285,30066,8184,6597,26863,19121,98415,146882,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14133,11444,4852,2156,288,253,1516,1272,7477,7763,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
863221,721283,142162,43926,19716,15635,49934,34103,651409,627619,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
213266,146282,1995,1126,847,666,1648,1296,208776,143194,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
413312,288386,103122,31027,11632,8577,35659,23361,262899,225421,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
234245,284517,36614,11625,7194,6358,12465,9343,177972,257191,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2398,2098,431,148,43,34,162,103,1762,1813,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4578034,3600602,1864137,408696,47928,24527,248748,146230,2417221,3021149,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
862185,707516,19812,11225,1308,893,16346,13589,824719,681809,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
