Total_disabled_population_Males,Total_disabled_population_Females,Main_worker_Males,Main_worker_Females,Marginal_worker_Less_than_3_months_Males,Marginal_worker_Less_than_3months_Females,Marginal_worker_3to6_months_Males,Marginal_worker_3to6_months_Females,Non_worker_Males,Non_worker_Females,Total_Rural_Urban_Rural,Total_Rural_Urban_Total,Total_Rural_Urban_Urban,Disability_Any_Other,Disability_In_Hearing,Disability_In_Movement,Disability_In_Seeing,Disability_In_Speech,Disability_Mental_Illness,Disability_Mental_Retardation,Disability_Multiple_Disability,Disability_Total,Age_group_0to14,Age_group_15to59,Age_group_60+,Age_group_AgeNotStated,Age_group_Total
423,303,128,27,4,1,8,2,283,273,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
140,128,21,1,1,0,2,1,116,126,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
212,134,104,10,2,0,4,6,102,118,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
46,33,2,0,0,0,0,0,44,33,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
142,87,98,8,2,0,4,6,38,73,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
24,14,4,2,0,0,0,0,20,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14,17,7,2,0,0,0,0,7,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,6,0,0,0,0,0,0,4,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7,10,6,2,0,0,0,0,1,8,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25,7,13,2,0,0,2,0,10,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,2,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,3,12,1,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,2,1,1,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
26,23,19,1,0,0,0,1,7,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,6,0,0,0,0,0,0,4,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20,15,19,1,0,0,0,1,1,13,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
85,44,47,5,1,0,2,3,35,36,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,4,1,0,0,0,0,0,10,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
62,33,44,4,1,0,2,3,15,26,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,7,2,1,0,0,0,0,10,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6,10,0,0,0,0,0,1,6,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,7,0,0,0,0,0,1,3,6,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,9,4,0,0,0,0,0,7,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,3,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8,6,4,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
28,12,12,0,1,0,0,1,15,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,6,1,0,0,0,0,0,12,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
15,6,11,0,1,0,0,1,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
17,12,2,0,0,0,0,0,15,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6,4,0,0,0,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11,7,2,0,0,0,0,0,9,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8531,5919,3540,642,50,12,185,86,4756,5179,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1517,1118,21,14,0,0,11,6,1485,1098,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5769,3669,3263,592,42,11,159,71,2305,2995,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1239,1126,256,34,8,1,14,8,961,1083,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6,6,0,2,0,0,1,1,5,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1064,679,483,77,4,3,20,12,557,587,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
202,124,2,1,0,0,0,0,200,123,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
657,373,429,69,3,2,19,10,206,292,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
203,182,52,7,1,1,1,2,149,172,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1243,1200,650,117,5,1,50,35,538,1047,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
213,238,5,1,0,0,6,2,202,235,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
802,753,600,108,3,1,38,32,161,612,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
227,207,45,7,2,0,5,0,175,200,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
536,376,243,50,3,0,9,6,281,320,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
138,81,4,2,0,0,0,0,134,79,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
352,256,226,44,2,0,9,5,115,207,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
46,39,13,4,1,0,0,1,32,34,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2293,1393,1164,215,13,4,43,10,1073,1164,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
227,146,1,4,0,0,1,1,225,141,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1656,852,1093,202,10,4,39,8,514,638,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
410,395,70,9,3,0,3,1,334,385,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
677,397,79,18,0,0,3,1,595,378,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
169,119,3,1,0,0,0,0,166,118,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
489,266,71,16,0,0,3,1,415,249,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19,12,5,1,0,0,0,0,14,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
434,302,80,15,4,1,11,0,339,286,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
68,48,1,1,0,0,0,0,67,47,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
327,220,74,13,4,1,10,0,239,206,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39,34,5,1,0,0,1,0,33,33,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1526,1017,693,120,16,2,38,19,779,876,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
294,230,4,2,0,0,3,3,287,225,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1074,653,644,113,16,2,33,13,381,525,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
155,130,45,4,0,0,2,3,108,123,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,0,1,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
758,555,148,30,5,1,11,3,594,521,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
206,132,1,2,0,0,1,0,204,130,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
412,296,126,27,4,1,8,2,274,266,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
140,127,21,1,1,0,2,1,116,125,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
102787,82485,33341,11098,3028,2795,8499,6127,57919,62465,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19533,15387,281,168,116,132,300,248,18836,14839,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
61529,43951,27256,8408,1981,1514,6424,4448,25868,29581,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
21409,22964,5690,2499,927,1146,1741,1416,13051,17903,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
316,183,114,23,4,3,34,15,164,142,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14486,14621,5116,1997,473,607,1292,1094,7605,10923,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2479,2062,44,17,14,17,33,30,2388,1998,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6968,5856,3604,1209,224,220,810,602,2330,3825,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4975,6665,1450,766,234,369,439,459,2852,5071,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
64,38,18,5,1,1,10,3,35,29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19192,18489,8143,2922,531,646,1770,1726,8748,13195,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3756,3638,77,57,26,31,101,101,3552,3449,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
10641,9400,6573,2213,262,300,1200,1226,2606,5661,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4707,5401,1445,645,243,314,460,393,2559,4049,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
88,50,48,7,0,1,9,6,31,36,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7008,5340,2529,868,236,149,634,425,3609,3898,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1758,1277,20,4,16,8,25,16,1697,1249,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4425,3443,2217,754,182,118,529,372,1497,2199,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
799,613,287,109,37,23,77,37,398,444,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
26,7,5,1,1,0,3,0,17,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22743,14253,7632,1873,696,477,1913,868,12502,11035,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2594,1619,30,12,19,19,23,9,2522,1579,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15045,8483,6539,1526,489,294,1540,669,6477,5994,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5071,4136,1051,334,188,164,346,190,3486,3448,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
33,15,12,1,0,0,4,0,17,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6952,4498,1054,337,243,131,445,184,5210,3846,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1573,1159,12,15,10,10,12,5,1539,1129,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4978,2993,954,277,214,110,404,160,3406,2446,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
391,339,85,45,19,11,29,19,258,264,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10,7,3,0,0,0,0,0,7,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3935,2508,529,185,150,78,218,100,3038,2145,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
441,313,6,2,2,7,7,3,426,301,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3111,1796,465,155,139,56,189,87,2318,1498,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
378,395,57,28,9,15,22,10,290,342,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,4,1,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
17159,13564,6476,2207,409,432,1634,1311,8640,9614,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4377,3587,74,52,16,29,84,72,4203,3434,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10476,7997,5539,1808,319,298,1313,1072,3305,4819,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2228,1934,839,338,73,105,230,163,1086,1328,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
78,46,24,9,1,0,7,4,46,33,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11312,9212,1862,709,290,275,593,419,8567,7809,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2555,1732,18,9,13,11,15,12,2509,1700,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5885,3983,1365,466,152,118,439,260,3929,3139,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2860,3481,476,234,124,145,138,145,2122,2957,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,16,3,0,1,1,1,2,7,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
73244,60853,22039,9375,2776,2698,6981,5451,41448,43329,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
13745,10826,192,120,110,127,187,164,13256,10415,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
41991,30548,17164,6905,1775,1440,5193,3929,17859,18274,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
17314,19357,4622,2332,887,1128,1578,1346,10227,14551,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
194,122,61,18,4,3,23,12,106,89,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10341,11142,3507,1723,433,600,1038,977,5363,7842,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1568,1325,25,15,12,17,19,16,1512,1277,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4543,3965,2250,982,198,213,621,514,1474,2256,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4200,5836,1223,723,222,369,395,445,2360,4299,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,16,9,3,1,1,3,2,17,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12410,12902,4597,2450,476,615,1444,1507,5893,8330,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2453,2332,48,35,24,28,57,71,2324,2198,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6012,5994,3328,1802,214,276,951,1054,1519,2862,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3893,4539,1200,607,238,310,427,377,2028,3245,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
52,37,21,6,0,1,9,5,22,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4966,3842,1671,742,218,141,525,387,2552,2572,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1275,947,12,2,16,8,12,11,1235,926,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3074,2437,1433,640,167,111,442,343,1032,1343,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
597,453,222,99,34,22,68,33,273,299,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20,5,4,1,1,0,3,0,12,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
16970,10977,5383,1544,644,457,1608,813,9335,8163,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1961,1233,22,10,17,19,15,6,1907,1198,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11016,6354,4520,1225,450,279,1279,626,4767,4224,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3969,3378,833,308,177,159,311,181,2648,2730,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,12,8,1,0,0,3,0,13,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5090,3278,804,285,225,129,382,168,3679,2696,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1193,885,11,11,10,10,10,3,1162,861,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3601,2131,725,235,197,108,346,149,2333,1639,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
294,259,68,39,18,11,26,16,182,193,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,3,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2982,1781,412,175,141,77,189,93,2240,1436,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
297,208,3,2,2,7,7,2,285,197,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2394,1268,364,146,130,55,160,82,1740,985,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
287,301,44,27,9,15,22,9,212,250,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,4,1,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
11859,9683,4317,1843,364,413,1312,1137,5866,6290,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3090,2600,55,37,16,28,58,50,2961,2485,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7054,5542,3612,1492,280,283,1048,936,2114,2831,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1664,1508,635,307,67,102,202,147,760,952,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,33,15,7,1,0,4,4,31,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8626,7248,1348,613,275,266,483,369,6520,6000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1908,1296,16,8,13,10,9,5,1870,1273,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4297,2857,932,383,139,115,346,225,2880,2134,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2410,3083,397,222,122,140,127,138,1764,2583,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,12,3,0,1,1,1,1,6,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29543,21632,11302,1723,252,97,1518,676,16471,19136,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5788,4561,89,48,6,5,113,84,5580,4424,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
19538,13403,10092,1503,206,74,1231,519,8009,11307,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4095,3607,1068,167,40,18,163,70,2824,3352,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
122,61,53,5,0,0,11,3,58,53,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4145,3479,1609,274,40,7,254,117,2242,3081,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
911,737,19,2,2,0,14,14,876,721,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2425,1891,1354,227,26,7,189,88,856,1569,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
775,829,227,43,12,0,44,14,492,772,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
34,22,9,2,0,0,7,1,18,19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6782,5587,3546,472,55,31,326,219,2855,4865,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1303,1306,29,22,2,3,44,30,1228,1251,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4629,3406,3245,411,48,24,249,172,1087,2799,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
814,862,245,38,5,4,33,16,531,804,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
36,13,27,1,0,0,0,1,9,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2042,1498,858,126,18,8,109,38,1057,1326,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
483,330,8,2,0,0,13,5,462,323,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1351,1006,784,114,15,7,87,29,465,856,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
202,160,65,10,3,1,9,4,125,145,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6,2,1,0,0,0,0,0,5,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5773,3276,2249,329,52,20,305,55,3167,2872,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
633,386,8,2,2,0,8,3,615,381,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4029,2129,2019,301,39,15,261,43,1710,1770,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1102,758,218,26,11,5,35,9,838,718,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9,3,4,0,0,0,1,0,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1862,1220,250,52,18,2,63,16,1531,1150,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
380,274,1,4,0,0,2,2,377,268,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1377,862,229,42,17,2,58,11,1073,807,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
97,80,17,6,1,0,3,3,76,71,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8,4,3,0,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
953,727,117,10,9,1,29,7,798,709,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
144,105,3,0,0,0,0,1,141,104,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
717,528,101,9,9,1,29,5,578,513,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
91,94,13,1,0,0,0,1,78,92,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5300,3881,2159,364,45,19,322,174,2774,3324,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1287,987,19,15,0,1,26,22,1242,949,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3422,2455,1927,316,39,15,265,136,1191,1988,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
564,426,204,31,6,3,28,16,326,376,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27,13,9,2,0,0,3,0,15,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2686,1964,514,96,15,9,110,50,2047,1809,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
647,436,2,1,0,1,6,7,639,427,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1588,1126,433,83,13,3,93,35,1049,1005,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
450,398,79,12,2,5,11,7,358,374,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,4,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
315533,230841,110292,18721,5322,3460,20211,12594,179708,196066,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
58597,42918,806,410,171,137,679,556,56941,41815,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
193653,126062,93997,15807,4129,2575,16761,10341,78766,97339,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
62735,61450,15340,2460,1017,746,2735,1680,43643,56564,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
548,411,149,44,5,2,36,17,358,348,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43624,39078,16375,2862,826,667,2937,1963,23486,33586,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6760,5417,90,49,31,27,76,58,6563,5283,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21227,16587,12188,2161,486,394,2088,1460,6465,12572,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15576,17023,4075,646,308,246,771,444,10422,15687,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
61,51,22,6,1,0,2,1,36,44,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
60916,54611,24222,5248,839,758,4336,3775,31519,44830,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14165,12031,252,168,40,43,307,282,13566,11538,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
34496,29839,20436,4452,605,548,3439,3037,10016,21802,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12142,12628,3507,615,192,167,581,451,7862,11395,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
113,113,27,13,2,0,9,5,75,95,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
