Total_disabled_population_Persons,Total_disabled_population_Males,Total_disabled_population_Females,Main_worker_Persons,Main_worker_Males,Main_worker_Females,Marginal_worker_Less_than_3_months_Persons,Marginal_worker_Less_than_3_months_Males,Marginal_worker_Less_than_3months_Females,Marginal_worker_3to6_months_Persons,Marginal_worker_3to6_months_Males,Marginal_worker_3to6_months_Females,Non_worker_Persons,Non_worker_Males,Non_worker_Females
0.0012157004,0.0010391902,0.0014394067,0.00067616644,0.00074567366,0.0004257978,0.0009392043,0.0009305164,0.0009503133,0.0005592594,0.00060377346,0.0004957864,0.001529471,0.0013166126,0.0017135198
0.07631368,0.07878078,0.073186934,0.06469814,0.06753443,0.054481685,0.10864933,0.115807,0.09949703,0.11943111,0.1359798,0.095834166,0.0744598,0.0757694,0.073327444
1.2306548e-06,1.3343481e-06,1.0992355e-06,1.5754778e-06,1.829874e-06,6.5912974e-07,1.6953146e-06,3.0211572e-06,0.0,9.205916e-07,7.831044e-07,1.116636e-06,1.1130242e-06,1.0106411e-06,1.2015502e-06
0.03058867,0.02866373,0.03302831,0.0026142905,0.0019382025,0.005049593,0.011022936,0.00976438,0.0126322135,0.0089325,0.007863934,0.010456179,0.045462586,0.05126009,0.04044975
0.005000822,0.0048866495,0.0051455214,0.004499278,0.0040328596,0.006179341,0.009280153,0.008386732,0.010422542,0.0057223975,0.0054668514,0.0060867826,0.0049662553,0.005236131,0.0047329064
0.0006306173,0.00067084347,0.0005796353,0.001050414,0.0011599571,0.0006558341,0.00013223455,0.00017220595,8.112431e-05,0.00019976837,0.00024667787,0.00013287968,0.00053097116,0.00042244795,0.0006248061
0.0075387675,0.007650151,0.0073976014,0.0065978146,0.006984629,0.0052044885,0.010543162,0.011235683,0.009657656,0.010062066,0.010879669,0.008896239,0.0074986783,0.007438697,0.007550542
0.012201084,0.012537802,0.011774334,0.012636621,0.013657814,0.008958233,0.023549616,0.026909446,0.019253502,0.019911015,0.023849443,0.014295174,0.010649592,0.009338829,0.011782948
0.0075875833,0.007987674,0.007080514,0.0081977835,0.009442699,0.003713537,0.021701723,0.020290092,0.023506733,0.013217394,0.014302618,0.011669963,0.006133818,0.005450008,0.0067250766
3.878427e-05,3.522679e-05,4.3292966e-05,1.1887696e-05,1.1528206e-05,1.3182595e-05,1.3562517e-05,1.5105786e-05,1.1589186e-05,1.7951535e-05,2.349313e-05,1.0049724e-05,5.3308002e-05,5.4321958e-05,5.243128e-05
0.011729445,0.011668073,0.011807227,0.006094091,0.006669708,0.0040206914,0.0040416303,0.0050997133,0.0026886913,0.0034103317,0.004181777,0.0023103198,0.015358739,0.01660117,0.014284465
0.0009129594,0.000873531,0.0009629303,0.00094986986,0.0009109113,0.0010902006,0.00074763375,0.000788522,0.00069535116,0.0011677705,0.001118273,0.0012383492,0.00087114645,0.0008117974,0.00092246284
1.5476417e-05,1.567859e-05,1.5220184e-05,9.739317e-06,1.09792445e-05,5.273038e-06,5.085944e-06,6.0423145e-06,3.8630624e-06,9.666212e-06,1.1746565e-05,6.699816e-06,1.8921412e-05,1.996016e-05,1.8023253e-05
1.0255456e-05,1.1942415e-05,8.117431e-06,6.8748122e-06,7.319496e-06,5.273038e-06,1.6953146e-06,3.0211572e-06,0.0,2.7617748e-06,3.915522e-06,1.116636e-06,1.2887649e-05,1.6801907e-05,9.50317e-06
8.484059e-05,8.3263316e-05,8.683961e-05,5.456882e-05,6.2032734e-05,2.7683449e-05,5.76407e-05,5.7401987e-05,5.7945934e-05,3.31413e-05,3.6805905e-05,2.79159e-05,0.00010474143,0.0001064963,0.00010322408
1.2977814e-05,1.414409e-05,1.1499695e-05,4.2967577e-07,1.829874e-07,1.3182595e-06,0.0,0.0,0.0,4.602958e-07,7.831044e-07,0.0,2.0151596e-05,2.6529327e-05,1.4637067e-05
7.085588e-07,1.0674785e-06,2.5366973e-07,1.8619282e-06,2.1958488e-06,6.5912974e-07,0.0,0.0,0.0,9.205916e-07,1.5662088e-06,0.0,2.343209e-07,2.5266027e-07,2.1846368e-07
0.00041267957,0.00044327043,0.0003739092,0.00039114818,0.00039323993,0.00038361351,0.0004051802,0.0004501524,0.00034767558,0.00044556634,0.00049962057,0.00036848988,0.00041755982,0.00046843212,0.0003735729
3.2854754e-05,3.269153e-05,3.306162e-05,2.9217952e-05,3.037591e-05,2.504693e-05,1.6953147e-05,2.11481e-05,1.1589186e-05,1.6110353e-05,1.9577608e-05,1.1166359e-05,3.70227e-05,3.68884e-05,3.7138823e-05
0.0006547829,0.00065269636,0.0006574274,0.00068590575,0.00077403674,0.00036845353,0.00065947743,0.0006012103,0.00073398184,0.00076455134,0.0007337688,0.00080844446,0.00062792137,0.0005580002,0.00068837905
0.00046145823,0.0004612174,0.00046176347,0.00041449387,0.00043733988,0.0003322014,0.00024242999,0.0003383696,0.00011975493,0.0005799727,0.0005967255,0.00055608473,0.00047315244,0.00046097866,0.00048367857
0.00028622046,0.00028601752,0.00028647768,1.0025768e-05,8.417421e-06,1.5819114e-05,8.815636e-05,7.855009e-05,0.00010043962,2.4855974e-05,2.2710026e-05,2.79159e-05,0.00043929307,0.00052881794,0.0003618851
3.356331e-07,3.3358702e-07,3.382263e-07,1.4322525e-07,1.829874e-07,0.0,0.0,0.0,0.0,4.602958e-07,7.831044e-07,0.0,4.1006155e-07,3.789904e-07,4.3692737e-07
0.00013082233,0.00013356825,0.00012734221,0.00012159824,0.00012479741,0.00011007467,7.967979e-05,0.000114803974,3.476756e-05,0.00016018294,0.00017306606,0.00014181276,0.00013262562,0.00013403627,0.0001314059
0.00017743804,0.00018027042,0.00017384833,4.8696584e-06,4.574685e-06,5.932168e-06,1.6953146e-06,3.0211572e-06,0.0,1.1507395e-05,1.1746565e-05,1.1166359e-05,0.0002752099,0.00033616446,0.00022250526
0.0001149357,0.00012422781,0.00010315902,4.3254026e-05,4.5746852e-05,3.4274748e-05,3.3906294e-05,5.4380827e-05,7.726125e-06,3.636337e-05,4.9335576e-05,1.7866176e-05,0.00015705357,0.00019341143,0.00012561661
0.0065405197,0.0070134667,0.0059411144,0.0030528463,0.0032655932,0.002286521,0.0036144108,0.004806661,0.0020899167,0.0026605097,0.0033289767,0.0017073364,0.008561909,0.010287568,0.007069812
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0814845e-06,1.1341958e-06,1.0146789e-06,2.864505e-07,3.659748e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.581666e-06,1.894952e-06,1.3107821e-06
1.1560696e-06,1.2676306e-06,1.0146789e-06,8.5935153e-07,9.14937e-07,6.5912974e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.4645055e-06,1.7686218e-06,1.2015502e-06
0.0045329863,0.004418627,0.0046779234,0.0032467733,0.0036398026,0.0018310624,0.0021564402,0.00248037,0.0017422411,0.0018186287,0.0019444481,0.0016392216,0.0054866234,0.0054364908,0.005529971
0.00030337504,0.00032177803,0.00028005138,0.00016786,0.00018902599,9.161903e-05,0.0008612198,0.0009123895,0.0007957908,0.00045339137,0.00049727125,0.0003908226,0.0003204338,0.00036041986,0.0002858597
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.42812e-06,7.5390667e-06,9.554893e-06,5.72901e-06,4.94066e-06,8.568687e-06,3.3906292e-06,6.0423145e-06,0.0,6.444141e-06,7.047939e-06,5.5831797e-06,9.958638e-06,9.47476e-06,1.0377024e-05
8.275221e-05,7.679173e-05,9.030643e-05,3.5376637e-05,4.0074243e-05,1.8455632e-05,0.00015596896,0.00018429059,0.00011975493,6.029875e-05,7.361181e-05,4.1315532e-05,0.000102456805,9.815851e-05,0.00010617335
0.001134701,0.0012102537,0.0010389467,0.0011084202,0.001089141,0.0011778648,0.0037042624,0.0036193463,0.0038128423,0.0017422197,0.0017424072,0.0017419521,0.0009793441,0.0011072836,0.0008687208
0.066792816,0.06450759,0.06968908,0.106564745,0.10067235,0.12778944,0.11365559,0.0974293,0.13440366,0.13760911,0.12360676,0.1575752,0.03989395,0.028629819,0.04963353
9.3529765e-05,0.00011048402,7.20422e-05,0.0001854767,0.00020000523,0.0001331442,2.3734405e-05,3.0211571e-05,1.545225e-05,2.1633903e-05,3.054107e-05,8.933088e-06,6.748441e-05,6.493369e-05,6.9689915e-05
0.00011456277,0.000120091325,0.00010755597,8.006291e-05,9.167669e-05,3.8229526e-05,0.0003255004,0.00020543869,0.0004790197,0.00011093129,0.00011198392,0.00010943032,0.00012184686,0.00013744718,0.000108357985
2.5358946e-05,2.2683917e-05,2.8749237e-05,9.739317e-06,9.14937e-06,1.1864336e-05,6.781259e-05,6.34443e-05,7.339818e-05,2.5776564e-05,2.2710026e-05,3.0149171e-05,3.0227395e-05,3.0319232e-05,3.0147987e-05
3.729257e-08,0.0,8.4556575e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8580223e-08,0.0,1.0923184e-07
