Total_disabled_population_Persons,Total_disabled_population_Males,Total_disabled_population_Females,Main_worker_Persons,Main_worker_Males,Main_worker_Females,Marginal_worker_Less_than_3_months_Persons,Marginal_worker_Less_than_3_months_Males,Marginal_worker_Less_than_3months_Females,Marginal_worker_3to6_months_Persons,Marginal_worker_3to6_months_Males,Marginal_worker_3to6_months_Females,Non_worker_Persons,Non_worker_Males,Non_worker_Females,cluster
0.0029857177,0.0031398544,0.002790367,0.00014823813,0.00012443143,0.00023399106,0.0007374619,0.0007250777,0.0007532971,0.00043543984,0.0004307074,0.00044218785,0.00454852,0.0057596434,0.0035013172,0
0.020455832,0.021554058,0.019063957,0.011993825,0.012065091,0.011737123,0.02548397,0.02903332,0.020945523,0.01710045,0.018411567,0.015230915,0.024170142,0.028299212,0.020599924,0
0.0034151415,0.0029493761,0.004005445,0.0014349738,0.0014022324,0.0015529096,0.0030973398,0.003265871,0.0028818443,0.0018094229,0.001808188,0.0018111835,0.0044403807,0.004188349,0.004658301,0
0.0001013612,9.5005584e-05,0.000109416214,3.6952115e-05,3.4218643e-05,4.679821e-05,5.4250067e-05,6.948662e-05,3.476756e-05,5.845757e-05,6.656387e-05,4.6898713e-05,0.0001347931,0.00014262671,0.00012801972,0
0.18376245,0.18201342,0.18597914,0.21055688,0.20683579,0.22396041,0.18332455,0.17818785,0.18989268,0.21575905,0.20940602,0.2248179,0.16874637,0.16061765,0.17577489,2
0.04803447,0.045996778,0.050617006,0.0038070704,0.0029385947,0.006935363,0.011389124,0.010513627,0.012508595,0.012392544,0.011242246,0.014032764,0.07192609,0.08281344,0.062512286,0
0.11134592,0.112599425,0.10975723,0.18049118,0.1778676,0.18994142,0.14248951,0.13811824,0.1480789,0.17615014,0.17095168,0.18356267,0.07374143,0.057059404,0.0881656,2
0.022883764,0.021931611,0.024090508,0.024684729,0.024563132,0.02512273,0.028301584,0.028413983,0.02815786,0.02539452,0.025475169,0.025279522,0.021640413,0.019272167,0.023688126,0
0.0014983035,0.0014855964,0.0015144083,0.0015739023,0.0014664611,0.0019609109,0.0011443374,0.0011419974,0.0011473295,0.0018218508,0.0017369254,0.0019429466,0.0014384374,0.0014726303,0.0014088722,0
0.078937106,0.07757313,0.08066579,0.036378786,0.03622016,0.036950152,0.066717416,0.06774039,0.06540937,0.04562406,0.04710373,0.04351419,0.10100566,0.11144869,0.09197605,0
0.018003622,0.019062629,0.01666145,0.0006243189,0.0005046793,0.0010552667,0.0027362378,0.002749253,0.0027195958,0.001770758,0.0017056013,0.0018636654,0.02770534,0.03535677,0.0210895,0
0.036945935,0.038947687,0.034408946,0.027285699,0.027420297,0.026800875,0.03921602,0.041265987,0.03659479,0.03241495,0.034119856,0.02998391,0.041395243,0.0475878,0.036040828,0
0.023744067,0.01932623,0.029343162,0.008341868,0.008171668,0.008954937,0.02460071,0.023565026,0.02592501,0.011252851,0.0110848425,0.011492417,0.031603795,0.028179325,0.03456478,0
0.00024348318,0.00023657992,0.00025223228,0.00012689758,0.0001235165,0.00013907638,0.00016444552,0.00016012133,0.00016997474,0.00018549922,0.00019342678,0.00017419521,0.00030127808,0.00032479476,0.00028094428,0
0.69499767,0.6945655,0.69554543,0.6744729,0.65888643,0.73061633,0.877166,0.85520196,0.90525067,0.81819326,0.80520433,0.8367143,0.6814191,0.6946322,0.66999435,1
0.14926854,0.14751412,0.15149207,0.0099888155,0.007696084,0.018247347,0.045490377,0.042927623,0.0487673,0.03143406,0.028801795,0.035187434,0.22481737,0.26756507,0.1878554,2
0.38964248,0.40666065,0.36807394,0.54456234,0.53210104,0.5894485,0.6127071,0.60037947,0.62847,0.643401,0.63322365,0.65791297,0.28627634,0.27541018,0.2956718,1
0.15286325,0.13721435,0.17269641,0.11673875,0.116173945,0.1187732,0.21586102,0.20883447,0.22484568,0.1391396,0.13910675,0.13918644,0.16720816,0.14844005,0.18343608,2
0.003223383,0.0031763487,0.0032829938,0.003183038,0.0029153554,0.004147244,0.0031075117,0.0030604322,0.003167711,0.004218611,0.0040721428,0.0044274614,0.0031172293,0.0032168704,0.0030310743,0
0.13065667,0.12152228,0.14223346,0.12802991,0.12342409,0.14462031,0.17601265,0.15702766,0.20028819,0.1633553,0.15308516,0.17799959,0.12600237,0.11363294,0.13669764,2
0.027352383,0.025969416,0.029105134,0.0017515016,0.0013345272,0.0032534644,0.008034096,0.007498512,0.008718931,0.005930451,0.0053893244,0.006702049,0.04121716,0.04706909,0.03615727,0
0.06263772,0.061612654,0.06393687,0.09493371,0.09144393,0.10750406,0.10705234,0.09435678,0.12328576,0.11869372,0.110682406,0.13011712,0.04075965,0.031732738,0.048564803,2
0.040086713,0.03339326,0.04856989,0.030752754,0.03010527,0.03308502,0.06030743,0.054550014,0.06766926,0.037897073,0.03622171,0.040285993,0.043484334,0.034322254,0.05140636,0
0.00057986216,0.0005469493,0.0006215754,0.00059194997,0.0005403618,0.0007777731,0.00061878987,0.00062235835,0.0006142269,0.000834056,0.00079171854,0.00089442544,0.0005412227,0.0005088578,0.0005692071,0
0.12656084,0.11905227,0.13607708,0.13637608,0.12950201,0.16113679,0.1712573,0.15092492,0.19725569,0.17954022,0.1635717,0.20230988,0.11425938,0.10332339,0.123715214,2
0.03058867,0.02866373,0.03302831,0.0026142905,0.0019382025,0.005049593,0.011022936,0.00976438,0.0126322135,0.0089325,0.007863934,0.010456179,0.045462586,0.05126009,0.04044975,0
0.066792816,0.06450759,0.06968908,0.106564745,0.10067235,0.12778944,0.11365559,0.0974293,0.13440366,0.13760911,0.12360676,0.1575752,0.03989395,0.028629819,0.04963353,2
0.028514158,0.02524393,0.032658793,0.026535915,0.026279554,0.027459346,0.04591251,0.043136083,0.049462646,0.031981353,0.03114406,0.033175256,0.028280832,0.02282899,0.03299479,0
0.00066518754,0.0006370178,0.0007008895,0.0006611278,0.0006119099,0.000838413,0.0006662587,0.000595168,0.0007571602,0.0010172537,0.00095695356,0.0011032363,0.0006220048,0.00060448964,0.0006371493,0
0.048627272,0.04903716,0.048107788,0.058554493,0.05447041,0.07326557,0.054273803,0.05271919,0.056261636,0.058000494,0.055936363,0.06094376,0.043178953,0.04401923,0.042452406,0
0.012840018,0.013136323,0.012464485,0.0010310786,0.00080148486,0.0018580867,0.00422981,0.0043021278,0.0041373395,0.0024994062,0.0023986488,0.0026430774,0.019283496,0.023753602,0.015418402,0
0.03054899,0.030731903,0.030317169,0.050447516,0.046935905,0.063096516,0.04344583,0.041836984,0.04550301,0.04949607,0.04751877,0.05231551,0.019553374,0.016372638,0.022303613,0
0.0049771783,0.004908199,0.0050646006,0.0067282924,0.006426701,0.007814642,0.0063811643,0.006362557,0.0064049573,0.005665781,0.0056916024,0.005628962,0.004124809,0.0036726696,0.0045157536,0
0.00026108528,0.0002607316,0.0002615335,0.00034760768,0.00030632093,0.0004963247,0.00021700027,0.00021752331,0.00021633148,0.000339238,0.00032733762,0.00035620687,0.00021727404,0.00022031975,0.00021464056,0
0.15050314,0.16702895,0.12955861,0.15415034,0.16163863,0.1271771,0.1913773,0.21393418,0.16253448,0.15930147,0.18026906,0.12940359,0.14647932,0.16665307,0.12903601,2
